sku,name,subcategory,current_price,proposed_price,confidence,reason,image_path
BAT031,"Bateri Llavabo Low Arc",Bateria,29.99,22.90,high,"Image hash matches source 20381; accepted OCR metadata identifies ""Tush Bateri Automatike"" with source-derived retail 17.40, rounded to Denata retail bucket.",products/bateria/BAT031.jpg
BAT032,"Bateri Llavabo Single Handle",Bateria,32.99,22.90,medium,"No accepted picture metadata matched this BAT image; proposed from current product name/description, available image path, and market ranges.",products/bateria/BAT032.jpg
BAT033,"Bateri Llavabo Two Handles",Bateria,49.99,32.90,medium,"No accepted picture metadata matched this BAT image; proposed from current product name/description, available image path, and market ranges.",products/bateria/BAT033.jpg
BAT034,"Bateri Llavabo Vintage",Bateria,69.99,32.90,medium,"No accepted picture metadata matched this BAT image; proposed from current product name/description, available image path, and market ranges.",products/bateria/BAT034.jpg
BAT035,"Bateri Llavabo Modern",Bateria,44.99,22.90,high,"Image hash matches source 20389; accepted OCR metadata identifies ""Bateri Automatike Kok Levizese e Zez 110"" with source-derived retail 20.30, rounded to Denata retail bucket.",products/bateria/BAT035.jpg
BAT036,"Bateri Dush Premium Chrome",Bateria,85.99,52.90,medium,"No accepted picture metadata matched this BAT image; proposed from current product name/description, available image path, and market ranges.",products/bateria/BAT036.jpg
BAT037,"Bateri Dush Mat Black",Bateria,99.99,22.90,high,"Image hash matches source 20396; accepted OCR metadata identifies ""BATERI AUTOMATIKE 30cm zeze + gold 117"" with source-derived retail 17.40, rounded to Denata retail bucket.",products/bateria/BAT037.jpg
BAT038,"Bateri Dush Gold",Bateria,100.00,22.90,high,"Image hash matches source 20397; accepted OCR metadata identifies ""BATERI AUTOMATIKE 30cm zeze + silver 118"" with source-derived retail 17.40, rounded to Denata retail bucket.",products/bateria/BAT038.jpg
BAT039,"Bateri Dush Termostatike",Bateria,100.00,22.90,high,"Image hash matches source 20398; accepted OCR metadata identifies ""Bateri Automatike Fleksibile 8171A-2 e Zez"" with source-derived retail 17.40, rounded to Denata retail bucket.",products/bateria/BAT039.jpg
BAT040,"Bateri Dush me Sensor",Bateria,100.00,32.90,high,"Image hash matches source 20399; accepted OCR metadata identifies ""BATERI AUTOMATIKE e gjate e zeze 120"" with source-derived retail 29.00, rounded to Denata retail bucket.",products/bateria/BAT040.jpg
BAT041,"Bateri Bide Classic",Bateria,35.99,22.90,medium,"No accepted picture metadata matched this BAT image; proposed from current product name/description, available image path, and market ranges.",products/bateria/BAT041.jpg
BAT042,"Bateri Bide Modern",Bateria,49.99,32.90,medium,"No accepted picture metadata matched this BAT image; proposed from current product name/description, available image path, and market ranges.",products/bateria/BAT042.jpg
BAT043,"Bateri Bide Premium",Bateria,59.99,17.90,high,"Image hash matches source 20402; accepted OCR metadata identifies ""Bateri Harkore Dy Uje U $S304"" with source-derived retail 15.95, rounded to Denata retail bucket.",products/bateria/BAT043.jpg
BAT044,"Bateri Oborr Inox",Bateria,55.99,17.90,high,"Image hash matches source 20403; accepted OCR metadata identifies ""Bateri Harkore Dy Ujel Ss304"" with source-derived retail 15.95, rounded to Denata retail bucket.",products/bateria/BAT044.jpg
BAT045,"Bateri Oborr Plastike",Bateria,25.99,32.90,high,"Image hash matches source 20675; accepted OCR metadata identifies ""BATERI AUTOMATIKE e gjate e bardhe KOBER"" with source-derived retail 29.00, rounded to Denata retail bucket.",products/bateria/BAT045.jpg
BAT046,"Bateri Oborr Premium",Bateria,89.99,15.50,medium,"No accepted picture metadata matched this BAT image; proposed from current product name/description, available image path, and market ranges.",products/bateria/BAT046.jpg
BAT047,"Bateri Lavaman Chrome",Bateria,34.99,32.90,high,"Image hash matches source 20678; accepted OCR metadata identifies ""Bateri Automatike Zez Lt-80-1"" with source-derived retail 29.00, rounded to Denata retail bucket.",products/bateria/BAT047.jpg
BAT048,"Bateri Lavaman Mat Black",Bateria,24.99,22.90,high,"Image hash matches source 20786; accepted OCR metadata identifies ""Bateri per Lavaman Nz-23 Zeze + Silver"" with source-derived retail 18.85, rounded to Denata retail bucket.",products/bateria/BAT048.jpg
BAT049,"Bateri Lavaman Premium",Bateria,69.99,22.90,high,"Image hash matches source 20788; accepted OCR metadata identifies ""Bateri per Lavaman Nz-16 Gold"" with source-derived retail 18.85, rounded to Denata retail bucket.",products/bateria/BAT049.jpg
BAT050,"Bateri Garazh Heavy Duty",Bateria,45.99,15.50,medium,"No accepted picture metadata matched this BAT image; proposed from current product name/description, available image path, and market ranges.",products/bateria/BAT050.jpg
BAT051,"Bateri Garazh Standard",Bateria,29.99,27.90,high,"Image hash matches source 20791; accepted OCR metadata identifies ""Bateri Harkore Kok Levizese"" with source-derived retail 23.20, rounded to Denata retail bucket.",products/bateria/BAT051.jpg
BAT052,"Bateri Pusi Zhytëse",Bateria,100.00,27.90,high,"Image hash matches source 20792; accepted OCR metadata identifies ""Bateri Lavabos Katrore e Hapur"" with source-derived retail 24.65, rounded to Denata retail bucket.",products/bateria/BAT052.jpg
BAT053,"Bateri Ngrohës Uji Elektrik",Bateria,89.99,15.50,high,"Image hash matches source 20793; accepted OCR metadata identifies ""Qeshme 1Uje e Zez V-30088B"" with source-derived retail 11.60, rounded to Denata retail bucket.",products/bateria/BAT053.jpg
BAT054,"Bateri me Dozues Sapuni",Bateria,79.99,12.90,high,"Image hash matches source 20794; accepted OCR metadata identifies ""Qeshme 1Uje V-400118B"" with source-derived retail 10.15, rounded to Denata retail bucket.",products/bateria/BAT054.jpg
BAT055,"Bateri me Ozimim Uji",Bateria,100.00,15.50,high,"Image hash matches source 20795; accepted OCR metadata identifies ""Qeshme 1Uje Fleksibile e Zez S-40011"" with source-derived retail 11.60, rounded to Denata retail bucket.",products/bateria/BAT055.jpg
BAT056,"Bateri me Filtër Anti-Kalk",Bateria,99.99,42.90,medium,"Manually reviewed low-confidence item: visible product is a brushed/nickel pull-down kitchen faucet; filter claim is not visible and suspect OCR was not used; final approved price 39.90.",products/bateria/BAT056.jpg
BAT057,"Bateri me Ndriçim LED",Bateria,64.99,27.90,medium,"No accepted picture metadata matched this BAT image; proposed from current product name/description, available image path, and market ranges.",products/bateria/BAT057.jpg
BAT058,"Bateri me Spërkatës të Jashtëm",Bateria,72.99,42.90,high,"Image hash matches source 20940; accepted OCR metadata identifies ""Tush Bateri Gold Elegant"" with source-derived retail 36.25, rounded to Denata retail bucket.",products/bateria/BAT058.jpg
BAT059,"Bateri me Leva të Gjata",Bateria,55.99,32.90,high,"Image hash matches source 20941; accepted OCR metadata identifies ""Tush Bateri Gold + Bardh Elegant"" with source-derived retail 29.00, rounded to Denata retail bucket.",products/bateria/BAT059.jpg
BAT060,"Bateri me Dorezë të Lartë",Bateria,49.99,27.90,medium,"No accepted picture metadata matched this BAT image; proposed from current product name/description, available image path, and market ranges.",products/bateria/BAT060.jpg
BAT061,"Bateri Ekonomike Standarde",Bateria,19.99,22.90,medium,"No accepted picture metadata matched this BAT image; proposed from current product name/description, available image path, and market ranges.",products/bateria/BAT061.jpg
BAT062,"Bateri Deluxe Chrome",Bateria,59.99,27.90,medium,"No accepted picture metadata matched this BAT image; proposed from current product name/description, available image path, and market ranges.",products/bateria/BAT062.jpg
BAT063,"Bateri Executive",Bateria,69.99,32.90,high,"Image hash matches source 21048; accepted OCR metadata identifies ""Bateri Automatike Bardhe Lt-80-1"" with source-derived retail 29.00, rounded to Denata retail bucket.",products/bateria/BAT063.jpg
BAT064,"Bateri Elite Premium",Bateria,100.00,15.50,high,"Image hash matches source 21060; accepted OCR metadata identifies ""Bateri Llavamani Qaf Gjat 22Cm"" with source-derived retail 13.05, rounded to Denata retail bucket.",products/bateria/BAT064.jpg
BAT065,"Bateri Standard Plus",Bateria,34.99,32.90,high,"Image hash matches source 21081; accepted OCR metadata identifies ""Bateri per Lavaman Bardhe + Gold"" with source-derived retail 27.55, rounded to Denata retail bucket.",products/bateria/BAT065.jpg
BAT066,"Bateri Luxurious",Bateria,100.00,32.90,high,"Image hash matches source 21082; accepted OCR metadata identifies ""Tush Bateri Gold + Zez Lt-8590-1"" with source-derived retail 29.00, rounded to Denata retail bucket.",products/bateria/BAT066.jpg
BAT067,"Bateri Professional Heavy Duty",Bateria,100.00,32.90,high,"Image hash matches source 21083; accepted OCR metadata identifies ""Tush Bateri Gold + Bardhe Lt-8611"" with source-derived retail 33.35, rounded to Denata retail bucket.",products/bateria/BAT067.jpg
BAT068,"Bateri Speciale e Jashtme",Bateria,100.00,32.90,high,"Image hash matches source 21084; accepted OCR metadata identifies ""Tush Bateri Gold + Zez Lt-8581"" with source-derived retail 33.35, rounded to Denata retail bucket.",products/bateria/BAT068.jpg
BAT069,"Bateri Anti-Bakteriale",Bateria,89.99,27.90,high,"Image hash matches source 21085; accepted OCR metadata identifies ""Bateri M.Nalt Bardhe+Gold Lt-8613"" with source-derived retail 23.20, rounded to Denata retail bucket.",products/bateria/BAT069.jpg
BAT070,"Bateri me Kursim Uji",Bateria,75.99,27.90,high,"Image hash matches source 21086; accepted OCR metadata identifies ""Bateri M.Nalt Zez+Gold Lt-8385"" with source-derived retail 23.20, rounded to Denata retail bucket.",products/bateria/BAT070.jpg
BAT071,"Bateri pa Kabllo",Bateria,49.99,32.90,high,"Image hash matches source 21087; accepted OCR metadata identifies ""Bateri Automatike Vizllume Lt-80-1"" with source-derived retail 29.00, rounded to Denata retail bucket.",products/bateria/BAT071.jpg
BAT072,"Bateri Portative",Bateria,39.99,32.90,high,"Image hash matches source 21088; accepted OCR metadata identifies ""Bateri Automatike Vizllume"" with source-derived retail 29.00, rounded to Denata retail bucket.",products/bateria/BAT072.jpg
BAT073,"Bateri Garden Waterfall",Bateria,69.99,32.90,high,"Image hash matches source 21089; accepted OCR metadata identifies ""Bateri Automatike Zez Elegante Nz-01-2 Gjat"" with source-derived retail 31.90, rounded to Denata retail bucket.",products/bateria/BAT073.jpg
BAT074,"Bateri me Presion të Lartë",Bateria,85.99,27.90,medium,"No accepted picture metadata matched this BAT image; proposed from current product name/description, available image path, and market ranges.",products/bateria/BAT074.jpg
BAT075,"Bateri për Presion të Ulët",Bateria,79.99,52.90,high,"Image hash matches source 21095; accepted OCR metadata identifies ""Bateri Harkore Kok Levizese Vizllume"" with source-derived retail 50.75, rounded to Denata retail bucket.",products/bateria/BAT075.jpg
BAT076,"Bateri me Motor Elektrik",Bateria,100.00,22.90,high,"Image hash matches source 21096; accepted OCR metadata identifies ""Tush Bateri Zi Thjesht Mat"" with source-derived retail 20.30, rounded to Denata retail bucket.",products/bateria/BAT076.jpg
BAT077,"Bateri me Bluetooth",Bateria,100.00,32.90,medium,"Manually reviewed low-confidence item: visible product is a white bath/shower mixer with diverter; Bluetooth claim is not visible; final approved price 29.90.",products/bateria/BAT077.jpg
BAT078,"Bateri me Zë",Bateria,100.00,27.90,medium,"No accepted picture metadata matched this BAT image; proposed from current product name/description, available image path, and market ranges.",products/bateria/BAT078.jpg
BAT079,"Bateri Praktike",Bateria,18.99,22.90,medium,"Image inspected and historical visual estimate was 18.99; practical black single-lever faucet rounded to retail bucket.",products/bateria/BAT079.jpg
BAT080,"Bateri me Timer",Bateria,99.99,72.90,high,"Image hash matches source 21100; accepted OCR metadata identifies ""Bateri Llavabos me Senzor"" with source-derived retail 65.25, rounded to Denata retail bucket.",products/bateria/BAT080.jpg
BAT081,"Bateri me Kartelë",Bateria,100.00,7.90,high,"Image hash matches source 21106; accepted OCR metadata identifies ""Gyp Bateris Fleksibil 45Cm e Zez"" with accepted metadata identifies a flexible faucet pipe/accessory with source-derived retail 3.63; raised to accessory retail bucket.",products/bateria/BAT081.jpg
BAT082,"Bateri Smart Home",Bateria,100.00,7.90,high,"Image hash matches source 21107; accepted OCR metadata identifies ""Gyp Bateris Fleksibil 45Cm Vizllume"" with accepted metadata identifies a flexible faucet pipe/accessory with source-derived retail 2.90; raised to accessory retail bucket.",products/bateria/BAT082.jpg
BAT083,"Bateri me Sensor Lage",Bateria,79.99,27.90,medium,"No accepted picture metadata matched this BAT image; proposed from current product name/description, available image path, and market ranges.",products/bateria/BAT083.jpg
BAT084,"Bateri Lavaman Double",Bateria,100.00,22.90,medium,"No accepted picture metadata matched this BAT image; proposed from current product name/description, available image path, and market ranges.",products/bateria/BAT084.jpg
BAT085,"Bateri me Karikues USB",Bateria,69.99,27.90,medium,"No accepted picture metadata matched this BAT image; proposed from current product name/description, available image path, and market ranges.",products/bateria/BAT085.jpg
BAT086,"Bateri me Ngrohje",Bateria,100.00,27.90,high,"Image hash matches source 21286; accepted OCR metadata identifies ""Bateri e Shkurt Vizllume Elegante 2 Ujna"" with source-derived retail 23.20, rounded to Denata retail bucket.",products/bateria/BAT086.jpg
BAT087,"Bateri me Ftohje",Bateria,100.00,27.90,medium,"No accepted picture metadata matched this BAT image; proposed from current product name/description, available image path, and market ranges.",products/bateria/BAT087.jpg
BAT088,"Bateri me Gaz",Bateria,89.99,12.90,high,"Image hash matches source 21288; accepted OCR metadata identifies ""Qeshme Automatike Fleksibile Antracid"" with source-derived retail 10.15, rounded to Denata retail bucket.",products/bateria/BAT088.jpg
BAT089,"Bateri Solare",Bateria,100.00,17.90,high,"Image hash matches source 21289; accepted OCR metadata identifies ""Qeshme 1Uje M.U Crom"" with source-derived retail 14.50, rounded to Denata retail bucket.",products/bateria/BAT089.jpg
BAT090,"Bateri me Ventil",Bateria,99.99,52.90,high,"Image hash matches source 21290; accepted OCR metadata identifies ""Bateri Llavamani Kok-Hapur Gold + Bardhe"" with source-derived retail 47.85, rounded to Denata retail bucket.",products/bateria/BAT090.jpg
BAT091,"Bateri me Dezinfektues",Bateria,84.99,12.90,high,"Image hash matches source 21291; accepted OCR metadata identifies ""Qeshme 1 Uje M.U Crom Elegante"" with source-derived retail 10.15, rounded to Denata retail bucket.",products/bateria/BAT091.jpg
BAT092,"Bateri me Sapun Likuid",Bateria,74.99,27.90,medium,"No accepted picture metadata matched this BAT image; proposed from current product name/description, available image path, and market ranges.",products/bateria/BAT092.jpg
BAT093,"Bateri me Shkumë Sapuni",Bateria,89.99,7.90,high,"Image hash matches source 21293; accepted OCR metadata identifies ""Bateri per Bide 6.5Cm Shkurt"" with accepted metadata identifies a small bide faucet with low source price 2.76; raised to the lowest faucet/accessory retail bucket.",products/bateria/BAT093.jpg
BAT094,"Bateri Anti-Virus",Bateria,100.00,42.90,medium,"Image hash matches source 21305; accepted OCR metadata identifies ""Bateri per Kuzhin me Rryme"" with accepted metadata identifies an electric/current-powered faucet, but the OCR/source price 1.45 is implausibly low; priced conservatively as an instant/electric tap.",products/bateria/BAT094.jpg
BAT095,"Bateri me Filtër Nano",Bateria,100.00,42.90,high,"Image hash matches source 21306; accepted OCR metadata identifies ""Bateri Llavamani L Vizllume"" with source-derived retail 43.50, rounded to Denata retail bucket.",products/bateria/BAT095.jpg
BAT096,"Bateri me Mineralizim",Bateria,100.00,52.90,high,"Image hash matches source 21307; accepted OCR metadata identifies ""Bateri Llavamani L Gold"" with source-derived retail 50.75, rounded to Denata retail bucket.",products/bateria/BAT096.jpg
BAT097,"Bateri me Alkaline",Bateria,100.00,12.90,medium,"Manually reviewed low-confidence item: visible product is a small matte black wall/outdoor tap with hose connector; alkaline claim is not visible; final approved price 9.90.",products/bateria/BAT097.jpg
BAT098,"Bateri me Hidrojen",Bateria,100.00,17.90,high,"Image hash matches source 21518; accepted OCR metadata identifies ""Tush Bateri Thjesht"" with source-derived retail 14.50, rounded to Denata retail bucket.",products/bateria/BAT098.jpg
BAT099,"Bateri me EMS",Bateria,100.00,22.90,high,"Image hash matches source 21520; accepted OCR metadata identifies ""Bateri Llavamani Spirale"" with source-derived retail 18.85, rounded to Denata retail bucket.",products/bateria/BAT099.jpg
BAT100,"Bateri me Magnet",Bateria,100.00,42.90,medium,"Manually reviewed low-confidence item: visible product is a tall matte black modern lavaman faucet; magnet claim is not visible but visible faucet class supports final approved price 39.90.",products/bateria/BAT100.jpg
BAT101,"Bateri Smart Scale",Bateria,100.00,12.90,high,"Image hash matches source 21522; accepted OCR metadata identifies ""Bateri Llavamani e Gjat Viz"" with source-derived retail 10.15, rounded to Denata retail bucket.",products/bateria/BAT101.jpg
