"category","subcategory","name","description","price","compare_price","stock","sku","image","is_active","is_featured"
"Tusha","Bateria","Bateri Llavabo Standard Chrome","Bateri llavabo standarde me finish chrome. Dizajn i thjeshtë dhe funksional.","24.99","34.99","80","BAT026","products/bateria/BAT026.jpg","yes","no"
"Tusha","Bateria","Bateri Llavabo High Arc","Bateri llavabo me grykë të lartë 120mm. Hapësirë e mjaftueshme për larje.","44.99","64.99","55","BAT027","products/bateria/BAT027.jpg","yes","no"
"Tusha","Bateria","Bateri Llavabo Wall Mount","Bateri llavabo e montuar në mur. Kursen hapësirë. Ideale për lavamanë të vegjël.","39.99","55.99","60","BAT028","products/bateria/BAT028.jpg","yes","no"
"Tusha","Bateria","Bateri Llavabo Waterfall","Bateri llavabo me efekt ujëvarë. Finish chrome premium.","59.99","79.99","35","BAT029","products/bateria/BAT029.jpg","yes","no"
"Tusha","Bateria","Bateri Llavabo me Sensor","Bateri llavabo automatike pa prekje dore. Higjienike për ambiente publike.","54.99","74.99","40","BAT030","products/bateria/BAT030.jpg","yes","no"
"Tusha","Bateria","Bateri Llavabo Low Arc","Bateri llavabo kompakte me grykë të ulët. Ideale për hapësira të vogla.","29.99","39.99","75","BAT031","products/bateria/BAT031.jpg","yes","no"
"Tusha","Bateria","Bateri Llavabo Single Handle","Bateri llavabo me një dorezë. Kontroll i lehtë i temperaturës dhe rrjedhjes.","32.99","45.99","65","BAT032","products/bateria/BAT032.jpg","yes","no"
"Tusha","Bateria","Bateri Llavabo Two Handles","Bateri llavabo me dy doreza. Kontroll i veçantë i ujit të nxehtë dhe të ftohtë.","49.99","69.99","45","BAT033","products/bateria/BAT033.jpg","yes","no"
"Tusha","Bateria","Bateri Llavabo Vintage","Bateri llavabo në stil vintage me bronz. Për ambiente me stil klasik.","69.99","94.99","30","BAT034","products/bateria/BAT034.jpg","yes","no"
"Tusha","Bateria","Bateri Llavabo Modern","Bateri llavabo me dizajn modern minimalist. Finish mat black elegant.","44.99","64.99","50","BAT035","products/bateria/BAT035.jpg","yes","no"
"Tusha","Bateria","Bateri Dush Premium Chrome","Bateri dush e kompletuar me finish chrome. Përfshin kokatër tub dhe grykë dushi.","85.99","119.99","40","BAT036","products/bateria/BAT036.jpg","yes","yes"
"Tusha","Bateria","Bateri Dush Mat Black","Bateri dush moderne me finish mat black. Dizajn elegant për banjo bashkëkohore.","99.99","139.99","35","BAT037","products/bateria/BAT037.jpg","yes","yes"
"Tusha","Bateria","Bateri Dush Gold","Bateri dush luksoze me finish gold. Për banjo ekskluzive.","149.99","199.99","20","BAT038","products/bateria/BAT038.jpg","yes","yes"
"Tusha","Bateria","Bateri Dush Termostatike","Bateri dush me termostat për temperaturë konstante. Siguri absolute.","129.99","179.99","25","BAT039","products/bateria/BAT039.jpg","yes","yes"
"Tusha","Bateria","Bateri Dush me Sensor","Bateri dush me sensor lëvizjeje. Aktivizohet automatikisht.","119.99","169.99","30","BAT040","products/bateria/BAT040.jpg","yes","yes"
"Tusha","Bateria","Bateri Bide Classic","Bateri bide klasike me finish chrome. Doreza anësore për kontroll të lehtë.","35.99","49.99","45","BAT041","products/bateria/BAT041.jpg","yes","no"
"Tusha","Bateria","Bateri Bide Modern","Bateri bide moderne me finish mat black. Dizajn minimalist.","49.99","69.99","40","BAT042","products/bateria/BAT042.jpg","yes","no"
"Tusha","Bateria","Bateri Bide Premium","Bateri bide me dy doreza. Finish brushed nickel rezistent.","59.99","79.99","35","BAT043","products/bateria/BAT043.jpg","yes","no"
"Tusha","Bateria","Bateri Oborr Inox","Bateri oborri prej inoxi rezistent. Ideale për përdorim të jashtëm.","55.99","79.99","30","BAT044","products/bateria/BAT044.jpg","yes","yes"
"Tusha","Bateria","Bateri Oborr Plastike","Bateri oborri ekonomike prej plastike. Rezistente ndaj UV.","25.99","35.99","60","BAT045","products/bateria/BAT045.jpg","yes","no"
"Tusha","Bateria","Bateri Oborr Premium","Bateri oborri profesionale. Finish brushed nickel.","89.99","129.99","25","BAT046","products/bateria/BAT046.jpg","yes","yes"
"Tusha","Bateria","Bateri Lavaman Chrome","Bateri lavamani standarde me finish chrome. Dizajn praktik.","34.99","49.99","50","BAT047","products/bateria/BAT047.jpg","yes","no"
"Tusha","Bateria","Bateri Lavaman Mat Black","Bateri lavamani moderne me finish mat black.","24.99","69.99","40","BAT048","products/bateria/BAT048.jpg","yes","no"
"Tusha","Bateria","Bateri Lavaman Premium","Bateri lavamani me finish brushed nickel. Dizajn elegant.","69.99","94.99","35","BAT049","products/bateria/BAT049.jpg","yes","yes"
"Tusha","Bateria","Bateri Garazh Heavy Duty","Bateri garazhi e qëndrueshme për përdorim të rëndë.","45.99","65.99","40","BAT050","products/bateria/BAT050.jpg","yes","no"
"Tusha","Bateria","Bateri Garazh Standard","Bateri garazhi standarde. Finish i qëndrueshëm.","29.99","39.99","60","BAT051","products/bateria/BAT051.jpg","yes","no"
"Tusha","Bateria","Bateri Pusi Zhytëse","Bateri e posaçme për puse dhe burime uji.","159.99","199.99","15","BAT052","products/bateria/BAT052.jpg","yes","yes"
"Tusha","Bateria","Bateri Ngrohës Uji Elektrik","Bateri me ngrohës uji elektrik të integruar.","89.99","129.99","25","BAT053","products/bateria/BAT053.jpg","yes","yes"
"Tusha","Bateria","Bateri me Dozues Sapuni","Bateri kuzhine me dozues sapuni të integruar.","79.99","109.99","30","BAT054","products/bateria/BAT054.jpg","yes","yes"
"Tusha","Bateria","Bateri me Ozimim Uji","Bateri me sistem ozonimi për pastrimin e ushqimeve.","199.99","249.99","10","BAT055","products/bateria/BAT055.jpg","yes","yes"
"Tusha","Bateria","Bateri me Filtër Anti-Kalk","Bateri me filtër që largon kalkun nga uji.","99.99","139.99","20","BAT056","products/bateria/BAT056.jpg","yes","yes"
"Tusha","Bateria","Bateri me Ndriçim LED","Bateri me dritë LED që ndizet kur hapet uji.","64.99","89.99","35","BAT057","products/bateria/BAT057.jpg","yes","no"
"Tusha","Bateria","Bateri me Spërkatës të Jashtëm","Bateri kuzhine me spërkatës të jashtëm.","72.99","99.99","30","BAT058","products/bateria/BAT058.jpg","yes","no"
"Tusha","Bateria","Bateri me Leva të Gjata","Bateri me leva të gjata për kontroll më të lehtë.","55.99","75.99","40","BAT059","products/bateria/BAT059.jpg","yes","no"
"Tusha","Bateria","Bateri me Dorezë të Lartë","Bateri me dorezë të lartë 200mm. Dizajn ergonomik.","49.99","69.99","45","BAT060","products/bateria/BAT060.jpg","yes","no"
"Tusha","Bateria","Bateri Ekonomike Standarde","Bateri ekonomike për ambiente me përdorim të ulët.","19.99","29.99","100","BAT061","products/bateria/BAT061.jpg","yes","no"
"Tusha","Bateria","Bateri Deluxe Chrome","Bateri deluxe me finish chrome premium.","59.99","79.99","40","BAT062","products/bateria/BAT062.jpg","yes","yes"
"Tusha","Bateria","Bateri Executive","Bateri executive me dizajn profesional.","69.99","94.99","35","BAT063","products/bateria/BAT063.jpg","yes","no"
"Tusha","Bateria","Bateri Elite Premium","Bateri elite e klasit të lartë.","129.99","179.99","20","BAT064","products/bateria/BAT064.jpg","yes","yes"
"Tusha","Bateria","Bateri Standard Plus","Bateri standarde me përmirësime.","34.99","49.99","55","BAT065","products/bateria/BAT065.jpg","yes","no"
"Tusha","Bateria","Bateri Luxurious","Bateri luksoze me detaje të arta.","159.99","219.99","15","BAT066","products/bateria/BAT066.jpg","yes","yes"
"Tusha","Bateria","Bateri Professional Heavy Duty","Bateri profesionale për përdorim intensiv.","179.99","249.99","20","BAT067","products/bateria/BAT067.jpg","yes","yes"
"Tusha","Bateria","Bateri Speciale e Jashtme","Bateri speciale për përdorim të jashtëm.","145.99","199.99","25","BAT068","products/bateria/BAT068.jpg","yes","yes"
"Tusha","Bateria","Bateri Anti-Bakteriale","Bateri me sipërfaqe anti-bakteriale. Vret 99.9 përqind të baktereve.","89.99","129.99","30","BAT069","products/bateria/BAT069.jpg","yes","yes"
"Tusha","Bateria","Bateri me Kursim Uji","Bateri me teknologji eko për kursim uji deri në 50 përqind.","75.99","109.99","40","BAT070","products/bateria/BAT070.jpg","yes","yes"
"Tusha","Bateria","Bateri pa Kabllo","Bateri që funksionon me bateri të ringarkueshme.","49.99","69.99","35","BAT071","products/bateria/BAT071.jpg","yes","no"
"Tusha","Bateria","Bateri Portative","Bateri e lëvizshme për kampera dhe udhëtime.","39.99","59.99","45","BAT072","products/bateria/BAT072.jpg","yes","no"
"Tusha","Bateria","Bateri Garden Waterfall","Bateri kopshti me efekt ujëvarë. Dekorative dhe funksionale.","69.99","99.99","30","BAT073","products/bateria/BAT073.jpg","yes","yes"
"Tusha","Bateria","Bateri me Presion të Lartë","Bateri për presion të lartë uji.","85.99","119.99","25","BAT074","products/bateria/BAT074.jpg","yes","no"
"Tusha","Bateria","Bateri për Presion të Ulët","Bateri speciale për presion të ulët uji.","79.99","109.99","30","BAT075","products/bateria/BAT075.jpg","yes","no"
"Tusha","Bateria","Bateri me Motor Elektrik","Bateri me motor elektrik për hapje automatike.","199.99","279.99","10","BAT076","products/bateria/BAT076.jpg","yes","yes"
"Tusha","Bateria","Bateri me Bluetooth","Bateri inteligjente me lidhje Bluetooth.","169.99","229.99","15","BAT077","products/bateria/BAT077.jpg","yes","yes"
"Tusha","Bateria","Bateri me Zë","Bateri që aktivizohet me komandë zanore.","189.99","259.99","12","BAT078","products/bateria/BAT078.jpg","yes","yes"
"Tusha","Bateria","Bateri Praktike","Bateri me ekran që tregon temperaturën dhe presionin.","18.99","179.99","20","BAT079","products/bateria/BAT079.jpg","yes","yes"
"Tusha","Bateria","Bateri me Timer","Bateri me timer të programueshëm.","99.99","139.99","25","BAT080","products/bateria/BAT080.jpg","yes","no"
"Tusha","Bateria","Bateri me Kartelë","Bateri që punon me kartelë elektronike.","149.99","199.99","20","BAT081","products/bateria/BAT081.jpg","yes","yes"
"Tusha","Bateria","Bateri Smart Home","Bateri e integruar në sistemin Smart Home.","159.99","219.99","18","BAT082","products/bateria/BAT082.jpg","yes","yes"
"Tusha","Bateria","Bateri me Sensor Lage","Bateri me sensor lage që aktivizohet kur ndjen duart.","79.99","109.99","30","BAT083","products/bateria/BAT083.jpg","yes","no"
"Tusha","Bateria","Bateri Lavaman Double","Bateri për lavamanë dyshe me dy grykë uji.","119.99","169.99","25","BAT084","products/bateria/BAT084.jpg","yes","yes"
"Tusha","Bateria","Bateri me Karikues USB","Bateri me port USB për karikimin e pajisjeve.","69.99","99.99","35","BAT085","products/bateria/BAT085.jpg","yes","no"
"Tusha","Bateria","Bateri me Ngrohje","Bateri me sistem ngrohje për ujë të nxehtë instant.","139.99","189.99","20","BAT086","products/bateria/BAT086.jpg","yes","yes"
"Tusha","Bateria","Bateri me Ftohje","Bateri me sistem ftohje për ujë të freskët.","159.99","219.99","15","BAT087","products/bateria/BAT087.jpg","yes","yes"
"Tusha","Bateria","Bateri me Gaz","Bateri me gaz për ambiente pa energji elektrike.","89.99","129.99","25","BAT088","products/bateria/BAT088.jpg","yes","no"
"Tusha","Bateria","Bateri Solare","Bateri që punon me energji solare. Ekologjike dhe ekonomike.","179.99","249.99","12","BAT089","products/bateria/BAT089.jpg","yes","yes"
"Tusha","Bateria","Bateri me Ventil","Bateri me ventilator për tharjen e duarve.","99.99","139.99","30","BAT090","products/bateria/BAT090.jpg","yes","no"
"Tusha","Bateria","Bateri me Dezinfektues","Bateri me dozues dezinfektues për duar.","84.99","119.99","25","BAT091","products/bateria/BAT091.jpg","yes","yes"
"Tusha","Bateria","Bateri me Sapun Likuid","Bateri me dozues sapuni likuid të integruar.","74.99","104.99","30","BAT092","products/bateria/BAT092.jpg","yes","no"
"Tusha","Bateria","Bateri me Shkumë Sapuni","Bateri që prodhon shkumë sapuni direkt.","89.99","129.99","25","BAT093","products/bateria/BAT093.jpg","yes","yes"
"Tusha","Bateria","Bateri Anti-Virus","Bateri me teknologji që largon viruset dhe bakteriet.","199.99","279.99","10","BAT094","products/bateria/BAT094.jpg","yes","yes"
"Tusha","Bateria","Bateri me Filtër Nano","Bateri me filtër nano-teknologji për ujë të pastër.","149.99","199.99","18","BAT095","products/bateria/BAT095.jpg","yes","yes"
"Tusha","Bateria","Bateri me Mineralizim","Bateri që mineralizon ujin duke shtuar minerale.","169.99","229.99","15","BAT096","products/bateria/BAT096.jpg","yes","yes"
"Tusha","Bateria","Bateri me Alkaline","Bateri që alkaline ujin për përfitime shëndetësore.","159.99","219.99","15","BAT097","products/bateria/BAT097.jpg","yes","yes"
"Tusha","Bateria","Bateri me Hidrojen","Bateri që prodhon ujë të pasuruar me hidrogjen.","189.99","269.99","12","BAT098","products/bateria/BAT098.jpg","yes","yes"
"Tusha","Bateria","Bateri me EMS","Bateri me stimulim elektrik për përdorim terapeutik.","229.99","319.99","8","BAT099","products/bateria/BAT099.jpg","yes","yes"
"Tusha","Bateria","Bateri me Magnet","Bateri me magnetoterapi për relaksim.","209.99","289.99","10","BAT100","products/bateria/BAT100.jpg","yes","yes"
"Tusha","Bateria","Bateri Smart Scale","Bateri me peshore të integruar për matjen e ujit.","124.99","174.99","20","BAT101","products/bateria/BAT101.jpg","yes","yes"
"Vegla Pune","Diska","Diska 10608","Produkt cilesor nga kategoria Diska. Pershkrimi final dhe specifikat duhet te plotesohen pas verifikimit te produktit.","5.80","","10","VS-DIS-10608","products/vs/MJETE-PUNE-VS-DISKAT-VS/10608.jpg","true","false"
"Vegla Pune","Diska","Disk Betoni 115¥10*22.23 Mm","Disk Betoni 115¥10*22.23 Mm. Produkt per Diska. Kodi i produktit: 20153.","5.08","","10","VS-DIS-20153","products/vs/MJETE-PUNE-VS-DISKAT-VS/20153.jpg","true","false"
"Vegla Pune","Diska","Diska 20156","Produkt cilesor nga kategoria Diska. Pershkrimi final dhe specifikat duhet te plotesohen pas verifikimit te produktit.","1.45","","10","VS-DIS-20156","products/vs/MJETE-PUNE-VS-DISKAT-VS/20156.jpg","true","false"
"Vegla Pune","Diska","Disk Preres Tyro 230","Disk Preres Tyro 230. Produkt per Diska. Kodi i produktit: 20158.","5.80","","10","VS-DIS-20158","products/vs/MJETE-PUNE-VS-DISKAT-VS/20158.jpg","true","false"
"Vegla Pune","Diska","Disk Preres Tyro 400%10*50","Disk Preres Tyro 400%10*50. Produkt per Diska. Kodi i produktit: 20421.","36.25","","10","VS-DIS-20421","products/vs/MJETE-PUNE-VS-DISKAT-VS/20421.jpg","true","false"
"Vegla Pune","Diska","Diska 20603","Produkt cilesor nga kategoria Diska. Pershkrimi final dhe specifikat duhet te plotesohen pas verifikimit te produktit.","7.25","","10","VS-DIS-20603","products/vs/MJETE-PUNE-VS-DISKAT-VS/20603.jpg","true","false"
"Vegla Pune","Diska","Disk per Dru 115*30T","Disk per Dru 115*30T. Produkt per Diska. Kodi i produktit: 20804.","1.45","","10","VS-DIS-20804","products/vs/MJETE-PUNE-VS-DISKAT-VS/20804.jpg","true","false"
"Vegla Pune","Diska","Disk per Dru 230*40T","Disk per Dru 230*40T. Produkt per Diska. Kodi i produktit: 20805.","3.63","","10","VS-DIS-20805","products/vs/MJETE-PUNE-VS-DISKAT-VS/20805.jpg","true","false"
"Vegla Pune","Diska","Disk per Dru 230*40T Kw","Disk per Dru 230*40T Kw. Produkt per Diska. Kodi i produktit: 22002.","5.08","","10","VS-DIS-22002","products/vs/MJETE-PUNE-VS-DISKAT-VS/22002.jpg","true","false"
"Vegla Pune","Diska","Diska 249","Produkt cilesor nga kategoria Diska. Pershkrimi final dhe specifikat duhet te plotesohen pas verifikimit te produktit.","2.90","","10","VS-DIS-249","products/vs/MJETE-PUNE-VS-DISKAT-VS/249.jpg","true","false"
"Vegla Pune","Diska","Diska 444","Produkt cilesor nga kategoria Diska. Pershkrimi final dhe specifikat duhet te plotesohen pas verifikimit te produktit.","2.17","","10","VS-DIS-444","products/vs/MJETE-PUNE-VS-DISKAT-VS/444.jpg","true","false"
"Vegla Pune","Diska","Disk Flet Flet F150 (P40 60 80","Disk Flet Flet F150 (P40 60 80. Produkt per Mjete Pune. Kodi i produktit: 10609.","1.01","","10","VS-MJE-10609","products/vs/MJETE-PUNE-VS/10609.jpg","true","false"
"Vegla Pune","Mjete Pune","Mjete Pune 1207","Produkt cilesor nga kategoria Mjete Pune. Pershkrimi final dhe specifikat duhet te plotesohen pas verifikimit te produktit.","6.53","","10","VS-MJE-1207","products/vs/MJETE-PUNE-VS/1207.jpg","true","false"
"Vegla Pune","Mjete Pune","Mjete Pune 1213","Produkt cilesor nga kategoria Mjete Pune. Pershkrimi final dhe specifikat duhet te plotesohen pas verifikimit te produktit.","4.35","","10","VS-MJE-1213","products/vs/MJETE-PUNE-VS/1213.jpg","true","false"
"Vegla Pune","Matese","Meter 7.5","Meter 7.5. Produkt per Mjete Pune. Kodi i produktit: 1326.","1.89","","10","VS-MJE-1326","products/vs/MJETE-PUNE-VS/1326.jpg","true","false"
"Vegla Kopshti","Karroca","Osa per Gom Karroces","Osa per Gom Karroces. Produkt per Mjete Pune. Kodi i produktit: 1449.","0.73","","10","VS-MJE-1449","products/vs/MJETE-PUNE-VS/1449.jpg","true","false"
"Vegla Pune","Shajme","Pastrues Keramikave A-35","Pastrues Keramikave A-35. Produkt per Mjete Pune. Kodi i produktit: 1470.","1.89","","10","VS-MJE-1470","products/vs/MJETE-PUNE-VS/1470.jpg","true","false"
"Vegla Pune","Shajme","Pastrues Keramikave G-45","Pastrues Keramikave G-45. Produkt per Mjete Pune. Kodi i produktit: 1471.","2.17","","10","VS-MJE-1471","products/vs/MJETE-PUNE-VS/1471.jpg","true","false"
"Vegla Pune","Mjete Pune","Mjete Pune 1499","Produkt cilesor nga kategoria Mjete Pune. Pershkrimi final dhe specifikat duhet te plotesohen pas verifikimit te produktit.","2.90","","10","VS-MJE-1499","products/vs/MJETE-PUNE-VS/1499.jpg","true","false"
"Vegla Pune","Mjete Pune","Mjete Pune 1523","Produkt cilesor nga kategoria Mjete Pune. Pershkrimi final dhe specifikat duhet te plotesohen pas verifikimit te produktit.","5.80","","10","VS-MJE-1523","products/vs/MJETE-PUNE-VS/1523.jpg","true","false"
"Elektronike","Pompa","Pump Zhytse Dc 12V","Pump Zhytse Dc 12V. Produkt per Mjete Pune. Kodi i produktit: 1563.","14.50","","10","VS-MJE-1563","products/vs/MJETE-PUNE-VS/1563.jpg","true","false"
"Vegla Pune","Rrota","Rrot-Levizese Mobile 4/1","Rrot-Levizese Mobile 4/1. Produkt per Mjete Pune. Kodi i produktit: 1809.","2.90","","10","VS-MJE-1809","products/vs/MJETE-PUNE-VS/1809.jpg","true","false"
"Vegla Pune","Doreza Pune","Dorza Pune Kafta 10” Id5","Dorza Pune Kafta 10” Id5. Produkt per Mjete Pune. Kodi i produktit: 20047.","5.80","","10","VS-MJE-20047","products/vs/MJETE-PUNE-VS/20047.jpg","true","false"
"Vegla Pune","Doreza Pune","Dorza Pune Hiri 10” 35Gr","Dorza Pune Hiri 10” 35Gr. Produkt per Mjete Pune. Kodi i produktit: 20048.","4.35","","10","VS-MJE-20048","products/vs/MJETE-PUNE-VS/20048.jpg","true","false"
"Vegla Pune","Doreza Pune","Dorza Pune Gjelbert 10” 339","Dorza Pune Gjelbert 10” 339. Produkt per Mjete Pune. Kodi i produktit: 20049.","7.83","","10","VS-MJE-20049","products/vs/MJETE-PUNE-VS/20049.jpg","true","false"
"Vegla Pune","Brava","Cilinder per Dyer Brass Dak 60Cm","Cilinder per Dyer Brass Dak 60Cm. Produkt per Mjete Pune. Kodi i produktit: 20089.","2.90","","10","VS-MJE-20089","products/vs/MJETE-PUNE-VS/20089.jpg","true","false"
"Vegla Pune","Litare dhe Sajle","Litar (Kaish) Shtrengues 10M","Litar (Kaish) Shtrengues 10M. Produkt per Mjete Pune. Kodi i produktit: 20148.","6.53","","10","VS-MJE-20148","products/vs/MJETE-PUNE-VS/20148.jpg","true","false"
"Vegla Pune","Mbajtese","Mbajtes Dyerve me Kushineta L","Mbajtes Dyerve me Kushineta L. Produkt per Mjete Pune. Kodi i produktit: 20180.","3.19","","10","VS-MJE-20180","products/vs/MJETE-PUNE-VS/20180.jpg","true","false"
"Vegla Pune","Pistola","Pistolet Silikoni e Kalterb-9","Pistolet Silikoni e Kalterb-9. Produkt per Mjete Pune. Kodi i produktit: 20198.","1.16","","10","VS-MJE-20198","products/vs/MJETE-PUNE-VS/20198.jpg","true","false"
"Vegla Pune","Mjete Pune","Mjete Pune 20281","Produkt cilesor nga kategoria Mjete Pune. Pershkrimi final dhe specifikat duhet te plotesohen pas verifikimit te produktit.","2.90","","10","VS-MJE-20281","products/vs/MJETE-PUNE-VS/20281.jpg","true","false"
"Vegla Pune","Sharra","Sharr Dore per Dru 76Cm","Sharr Dore per Dru 76Cm. Produkt per Mjete Pune. Kodi i produktit: 20282.","2.90","","10","VS-MJE-20282","products/vs/MJETE-PUNE-VS/20282.jpg","true","false"
"Vegla Kopshti","Lopata","Sopat me Bisht Druri 500G","Sopat me Bisht Druri 500G. Produkt per Mjete Pune. Kodi i produktit: 20283.","5.08","","10","VS-MJE-20283","products/vs/MJETE-PUNE-VS/20283.jpg","true","false"
"Vegla Kopshti","Lopata","Sopat me Bisht Druri 600G","Sopat me Bisht Druri 600G. Produkt per Mjete Pune. Kodi i produktit: 20284.","5.80","","10","VS-MJE-20284","products/vs/MJETE-PUNE-VS/20284.jpg","true","false"
"Vegla Pune","Pajisje Saldimi","Mask Aparati Saldus me Rreze (Digjitale) 160","Mask Aparati Saldus me Rreze (Digjitale) 160. Produkt per Mjete Pune. Kodi i produktit: 20287.","14.50","","10","VS-MJE-20287","products/vs/MJETE-PUNE-VS/20287.jpg","true","false"
"Vegla Pune","Mjete Pune","Mjete Pune 20311","Produkt cilesor nga kategoria Mjete Pune. Pershkrimi final dhe specifikat duhet te plotesohen pas verifikimit te produktit.","1.16","","10","VS-MJE-20311","products/vs/MJETE-PUNE-VS/20311.jpg","true","false"
"Vegla Pune","Qekiq","Qekan per Tesar me Maje","Qekan per Tesar me Maje. Produkt per Mjete Pune. Kodi i produktit: 20314.","7.98","","10","VS-MJE-20314","products/vs/MJETE-PUNE-VS/20314.jpg","true","false"
"Vegla Pune","Skalpera","Skallper Pvc Thjesht 1888","Skallper Pvc Thjesht 1888. Produkt per Mjete Pune. Kodi i produktit: 20317.","0.73","","10","VS-MJE-20317","products/vs/MJETE-PUNE-VS/20317.jpg","true","false"
